Site	Parameter	Date (LST)	Value	Unit	QCCode	OPCode
HDSN	WD	2019/08/30 00:00	104.30921	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:01	99.20529	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:02	93.97351	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:03	92.77403	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:04	94.42624	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:05	103.10026	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:06	102.31738	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:07	109.37711	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:08	110.65604	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:09	107.59495	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:10	101.03062	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:11	93.81583	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:12	104.16262	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:13	100.05737	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:14	95.11119	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:15	106.09084	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:16	105.61749	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:17	100.13966	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:18	96.01639	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:19	92.67263	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:20	95.71026	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:21	94.62513	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:22	89.56233	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:23	92.4868	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:24	88.23243	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:25	90.27179	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:26	106.61108	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:27	109.93774	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:28	100.66814	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:29	100.52112	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:30	104.03263	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:31	104.72078	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:32	102.13592	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:33	111.67134	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:34	110.3755	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:35	102.85081	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:36	94.82239	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:37	97.92433	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:38	104.05006	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:39	97.32358	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:40	100.68735	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:41	95.15958	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:42	93.36878	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:43	92.00648	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:44	95.97707	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:45	98.56843	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:46	97.8409	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:47	93.95335	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:48	97.08349	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:49	95.76801	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:50	98.4356	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:51	94.39185	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:52	101.2956	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:53	101.45982	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:54	95.30838	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:55	96.6422	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:56	100.10113	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:57	104.90093	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:58	87.90997	COMPASS DEG	0	1
HDSN	WD	2019/08/30 00:59	96.15865	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:00	89.57153	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:01	102.561	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:02	99.1133	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:03	92.28695	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:04	96.07597	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:05	90.95905	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:06	83.58009	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:07	91.39124	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:08	94.44368	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:09	100.66188	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:10	105.88158	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:11	109.24058	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:12	93.50303	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:13	98.68753	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:14	105.06953	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:15	99.01933	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:16	116.43011	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:17	116.7143	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:18	98.54702	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:19	112.21751	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:20	105.49449	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:21	101.20247	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:22	97.62688	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:23	102.35907	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:24	96.9033	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:25	93.26858	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:26	88.66833	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:27	87.82371	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:28	93.46291	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:29	96.01436	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:30	102.38443	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:31	91.03362	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:32	103.13264	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:33	105.43696	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:34	104.27176	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:35	101.08288	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:36	100.69477	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:37	99.70022	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:38	91.997	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:39	97.59421	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:40	90.45125	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:41	101.1123	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:42	97.14569	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:43	96.8249	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:44	86.48529	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:45	90.04907	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:46	88.28403	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:47	86.70836	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:48	88.21272	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:49	89.35827	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:50	100.80012	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:51	86.1651	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:52	86.53021	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:53	105.28447	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:54	96.15473	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:55	99.52427	COMPASS DEG	0	1
HDSN	WD	2019/08/30 01:56	51.88209	COMPASS DEG	0	1
